#set div cal c14 c14sig calsig*
120 1 36607.1 32080 225 222
120 1 36694.1 31061 308 225
120 1 36782.7 32283 234 227
120 1 36945.8 32316 244 230
120 1 37038.0 32487 160 230
120 1 37131.2 32399 300 229
120 1 37206.3 32901 328 228
120 1 37300.8 32663 376 225
120 1 37395.9 33024 246 221
120 1 37491.4 33076 170 215
120 1 37568.0 32788 202 210
120 1 37759.9 33032 246 196
120 1 37855.9 33134 264 188
120 1 38028.3 33478 301 174
120 1 38123.7 33040 338 167
120 1 38313.2 33596 264 162
120 1 38482.3 33711 210 168
120 1 38669.4 34199 385 183
120 1 38669.4 33589 185 183
120 1 38744.2 33513 453 190
120 1 38744.2 33713 272 190
120 1 38932.1 33911 318 210
120 1 39026.8 34156 433 220
120 1 39199.2 34836 346 236
120 1 39199.2 34346 183 236
120 1 39395.0 34458 242 252
120 1 39576.4 34489 336 262
120 1 39892.6 34969 403 274
120 1 39979.6 34965 181 276
120 1 40200.8 35889 394 282
120 1 40200.8 34569 183 282
120 1 40313.0 34915 184 284
120 1 40403.3 35200 236 286
120 1 40630.6 35712 386 289
120 1 40858.8 35803 198 290
120 1 40950.1 36328 417 289
120 1 41063.9 36363 342 287
120 1 41267.8 37041 516 278
120 1 41491.9 36760 293 262
120 1 41690.3 37197 238 241
120 1 41690.3 37617 510 241
120 1 41906.2 37924 326 222
120 1 42012.2 38168 457 217
120 1 42095.9 38421 270 217
120 1 42199.2 37984 422 219
120 1 42301.1 39178 545 223
120 1 42482.6 38903 388 227
120 1 42684.8 39449 491 225
120 1 42977.0 40698 704 208
120 1 43538.8 40505 489 155
120 1 44228.1 41434 673 126
120 1 44888.9 41530 557 175
120 1 45392.6 41712 692 231
120 1 45851.8 44183 743 257
120 1 46313.3 44283 945 244
120 1 46850.0 44734 786 201
120 1 47544.6 45806 1135 158
120 1 48370.5 46460 969 157
120 1 49236.4 47029 1315 199
120 1 49969.2 47634 1165 282
120 1 50588.7 47636 1255 370
120 1 51133.4 47535 1572 449
120 1 51610.7 49331 1795 512
120 1 52080.9 47127 1506 563
120 1 53041.4 49310 2011 630
120 1 53927.3 49288 2051 650
120 1 54858.6 49869 2196 641
120 1 55803.0 48950 2088 618
120 1 56991.1 51627 1830 562
120 1 56991.1 52527 1760 562
120 1 57998.9 54207 2061 470
120 1 57998.9 53007 2202 470
120 1 59011.8 56286 2527 337
120 1 60007.4 53966 2738 290
120 1 60007.4 54166 2493 290
120 1 60917.3 50248 3439 443
120 1 60917.3 51848 3512 443
120 1 61806.2 56030 3543 596
120 1 61806.2 56430 5418 596
121 1 14891.0 13007 172 120
121 1 14913.0 12955 170 121
121 1 15372.0 13275 176 155
121 1 16615.0 14071 170 176
121 1 16637.0 14018 174 175
121 1 17112.0 14405 180 143
121 1 19117.0 15678 184 232
121 1 19604.0 16127 190 271
121 1 21867.0 18019 190 276
121 1 23436.0 19374 265 129
121 1 24418.0 20153 195 86
121 1 25962.0 21466 195 96
121 1 26026.0 21473 207 98
121 1 27959.0 24154 314 108
121 1 28135.0 24102 201 105
121 1 28851.0 25011 332 106
121 1 29691.0 25390 201 117
121 1 29720.0 25188 195 118
121 1 32526.0 28374 422 195
121 1 33298.0 28893 289 207
121 1 33409.0 28941 213 210
121 1 33819.0 29175 394 224
121 1 35360.0 31701 450 241
121 1 35752.0 31084 394 244
121 1 35864.0 31554 249 243
121 1 37712.0 33737 738 172
121 1 37880.0 33152 459 165
121 1 38276.0 33100 281 152
121 1 38679.0 34566 487 147
121 1 39337.0 34845 516 153
121 1 40300.0 35057 621 179
121 1 40739.0 35651 983 195
121 1 41576.0 36628 699 214
121 1 42920.0 39564 459 172
121 1 43234.0 40530 1132 159
121 1 43298.0 41364 1112 157
121 1 45854.0 46250 973 139
121 1 46148.0 44515 1708 137
121 1 46443.0 44516 787 134
121 1 46550.0 46215 1807 133
121 1 49249.0 47496 1409 194
122 1 14400.0 12408 167 110
122 1 14820.0 12320 167 110
122 1 16010.0 13406 167 100
122 1 16070.0 13347 176 100
122 1 18290.0 15451 172 170
122 1 18310.0 15361 180 180
122 1 21510.0 17574 176 240
122 1 23640.0 19165 180 136
122 1 23648.0 19484 201 135
122 1 24038.0 19750 184 117
122 1 24063.0 19892 207 117
122 1 26197.0 21843 184 127
122 1 26223.0 21765 227 128
122 1 28907.0 24288 332 132
122 1 28942.0 24498 201 132
122 1 30083.0 25701 297 258
122 1 30110.0 25901 207 259
122 1 32335.0 27904 220 242
122 1 32520.0 28001 358 235
122 1 33702.0 28411 227 284
122 1 33741.0 28696 394 287
122 1 38827.0 33781 332 231
122 1 38842.0 32988 718 233
122 1 44465.0 41937 954 163
122 1 44465.0 40247 1409 163
